index,cat_num,category,question,score,correct,not_correct_1,not_correct_2,not_correct_3,not_correct_4,comment
0,1,Антивирус,"Антивирус представляет собой небольшую резидентную программу, предназначенную для обнаружения подозрительных действий при работе компьютера, характерных для вирусов",300,Сторож,Детектор,Доктор,Сканер,Ревизор,"Антивирусы-сторожа , которые располагаются резидентно в оперативной памяти компьютера и перехватывают те обращения к операционной системе, которые используются вирусами для размножения и нанесения вреда, и сообщают о них пользователя. Пользователь может разрешить или запретить выполнение соответствующей операции"
1,1,Антивирус,"Антивирус не только находит зараженные вирусами файлы, но и ""лечит"" их, т.е. удаляет из файла тело программы вируса, возвращая файлы в исходное состояние",600,Доктор,Сканер,Ревизор,Сторож,Детектор,"Антивирусы-доктора или фаги, а также программы-вакцины не только находят зараженные вирусами файлы, но и «лечат» их, то есть удаляют из файла тело программы-вируса, возвращая файлы в исходное состояние. В начале своей работы фаги ищут вирусы в оперативной памяти, уничтожая их, и только затем переходят к «лечению» файлов. Среди фагов выделяют полифаги, то есть программы-доктора, предназначенные для поиска и уничтожения большого количества вирусов. Наиболее известные из них: AVP, Aidstest, Scan, Norton AntiVirus, Doctor Web."
2,1,Антивирус,"Антивирус запоминает исходное состояние программ, каталогов и системных областей диска когда компьютер не заражен вирусом, а затем периодически или по команде пользователя сравнивает текущее состояние с исходным",900,Ревизор,Детектор,Доктор,Сканер,Сторож,"Антивирусы-ревизоры (инспектора) проверяют данные на диске на предмет вирусов-невидимок, изучают, не забрался ли вирус в файлы, нет ли посторонних в загрузочном секторе жесткого диска, нет ли несанкционированных изменений реестра Windows. Причем инспектор может не пользоваться средствами операционной системы для обращения к дискам (а значит, активный вирус не сможет это обращение перехватить)."
3,1,Антивирус,"Антивирус обеспечивает поиск вирусов в оперативной памяти, на внешних носителях путем подсчета и сравнения с эталоном контрольной суммы",1200,Детектор,Доктор,Сканер,Ревизор,Сторож,"Антивирусы-детекторы осуществляют поиск характерной для конкретного вируса сигнатуры в оперативной памяти и в файлах и при обнаружении выдают соответствующее сообщение. Недостатком таких антивирусных программ является то, что они могут находить только те вирусы, которые известны разработчикам таких программ."
4,2,Безопасность мобильных,Под какие системы распространение вирусов происходит наиболее динамично?,600,Android,Windows,Mac OS,Symbian,BlackBerry OS,"Android, по данным статистики, самая распространённая операционная система в мире, поэтому многие вирусы создаются с заточкой под неё, т.к. чем больше устройств будет заражено вредоносной программой, тем больше выгоды получит хакер, её создавший."
5,2,Безопасность мобильных,"Технология Apple, которая использует распознование лица для защиты мобильных устройств",300,Face ID,Mac Catalyst,App Clips,AirPods,Apple AirTag,"Face ID — это технология распознавания пользователя по лицу, которая используется для разблокировки смартфона и подтверждения платежей"
6,2,Безопасность мобильных ,Биометричческие системы безопасности используемые в мобильных устройствах,900,Сканер отпечатка пальцев,3D сканер,3D Технологии,DDoS,FRP,"Сканер отпечатков пальцев - это тип электронной системы безопасности, которая использует отпечатки пальцев для биометрической аутентификации, для предоставления Пользователю доступа к информации или подтверждения какой-либо транзакции."
7,2,Безопасность мобильных,"Аббревиатура системы защиты от несанкционированного доступа к данным, встроенная в операционную систему Android",1200,FRP,DDoS,IOS,IP,ISO,"Factory Reset Protection (FRP) - это метод защиты, который был разработан для того чтоб сохранить данные пользователей OS Android в безопасности, который можно использовать для защиты вашего устройства и информации, включая блокировку экрана и шифрование данных, если ваш телефон потерян или украден."
8,3,Безопасность ПК,Основная масса угроз информационной безопасности приходится на,600,Троянские программы,Черви,Шпионские программы,Зомби,Фишинг,"Троянская вирусная программа (также — троян,) — разновидность вредоносной программы, проникающая в компьютер под видом легитимного программного обеспечения, в отличие от вирусов и червей, которые распространяются самопроизвольно. В данную категорию входят программы, осуществляющие различные неподтверждённые пользователем действия: сбор информации о банковских картах, передача этой информации злоумышленнику, а также использование, удаление или злонамеренное изменение, нарушение работоспособности компьютера, использование ресурсов компьютера в целях майнинга, использование IP для нелегальной торговли."
9,3,Безопасность ПК,Какой вид идентификации и аутентификации получил наибольшее распространение?,300,Постоянные пароли,Одноразовые пароли,Сканер радужной оболочки глага,3D Сканер,3D Технологии,"Постоянный или многоразовый пароль - это пароль который пользователь запоминает и воспроизводит каждый раз, когда ему нужно подтвердить свою подлинность. Получил наибольшее распространение из-за простоты запоминания и удобства использования. "
10,3,Безопасность ПК,Какие вирусы активизируются в самом начале работы с операционной системой ?,900,Загрузочные вирусы,Троянцы,Черви,Зомби,Фишинг,"Загрузочный вирус (англ. Boot viruses) — компьютерный вирус, записывающийся в первый сектор гибкого или жесткого диска и выполняющийся при загрузке компьютера.
При включении или перезагрузки компьютера Boot-вирус заменяет собой загрузочный код, и таким образом получает управление ещё до непосредственного запуска операционной системы. Вместо операционной системы загружается вирус, размещая в памяти свое тело, которое хранит в неиспользованных секторах, идущих после MBR, но до первого загрузочного сектора раздела. Перехватив обращения к дискам, вирус продолжает загрузку операционной системы. Размножается вирус записью в загрузочную область других накопителей компьютера."
11,3,Безопасность ПК,"Вирус, который после проникновения в компьютер, подключенный к интернету управляется извне и используется злоумышлинниками для организации атаки на другие компьютеры",1200,Зомби,Шпионские программы,Фишинг,Черви,Троянские программы,"Зомби - это программа-вирус, которая после проникновения в компьютер, подключенный к сети интернет управляется извне и используется злоумышленниками для организации атак на другие компьютеры. Зараженные таким образом компьютеры-зомби могут объединяться в сети, через которые рассылается огромное количество нежелательных сообщений электронной почты, а также распространяются вирусы и другие вредоносные программы."
12,4,Веб-сайты и Интернет,"Вид интернет-мошенничества, целью которого является получение доступа к конфидециальным данным пользователей - логинам и паролям",300,Фишинг,Черви,Зомби,Троянские программы,Шпионские программы,"Фи́шинг (англ. phishing от fishing «рыбная ловля) — вид интернет-мошенничества, целью которого является получение доступа к конфиденциальным данным пользователей — логинам и паролям. Это достигается путём проведения массовых рассылок электронных писем от имени популярных брендов, а также личных сообщений внутри различных сервисов, например, от имени банков или внутри социальных сетей. В письме часто содержится прямая ссылка на сайт, внешне неотличимый от настоящего, либо на сайт с редиректом. После того как пользователь попадает на поддельную страницу, мошенники пытаются различными психологическими приёмами побудить пользователя ввести на поддельной странице свои логин и пароль, которые он использует для доступа к определённому сайту, что позволяет мошенникам получить доступ к аккаунтам и банковским счетам."
13,4,Веб-сайты и Интернет,"Уровень риска заражения компютера, без антивируса",600,Высокий,Минимальный,Ничтожный,Средний,Риск отсутствует,"Компьютер подвержен высокому риску заражения вирусом т.к. большенство копьютеров подключено к самому главному источнику заражения, сети интернет."
14,4,Веб-сайты и Интернет,"Военные действия, осуществляемые не физически, а электронно, когда в качестве  оружия выступает информация, а инструментами являются компьютер и интернет",900,Кибервойна,Военный конфликт,DDоS атака,Гибридная война,Кибер угроза,"Кибервойна (англ. cyberwarfare) — противоборство (война) и противостояние в кибернетическом пространстве (киберпространстве), в том числе компьютерное противостояние в Интернете, одна из разновидностей информационной войны.

Направлена прежде на дестабилизацию компьютерных систем и доступа к интернету государственных учреждений, финансовых и деловых центров и создание беспорядка и хаоса в жизни стран и государств, которые полагаются на интернет в повседневной жизни. Межгосударственные отношения и политическое противостояние часто находит продолжение в интернете в виде кибервойны и её составных частей: вандализме, пропаганде, шпионаже, непосредственных атаках на компьютерные системы и серверы, и так далее."
15,4,Веб-сайты и Интернет,Встроенная в Windows защита от интернет угроз,1200,"Брандмауэер
",Антивирус,Руткит,Ревизор диска,Утилита Chkdsk,"Брандма́уэр Windows - это встроенный в Microsoft Windows межсетевой экран, контролирующий доступ программ в сеть. Брандмауэр Windows является частью Центра обеспечения безопасности Windows.В брандмауэр Windows встроен журнал безопасности, который позволяет фиксировать IP-адреса и другие данные, относящиеся к соединениям в домашних и офисной сетях или в Интернете. Можно записывать как успешные подключения, так и пропущенные пакеты. Это позволяет отслеживать, когда компьютер в сети подключается, например, к web-сайту."
16,5,Защита данных,Какая категория является наиболее рискованной для компании с точки зрения вероятного мошенничества и нарушения безопасности?,300,Сотрудники,Хакеры,Атакующие,"Контрагенты (лица, работающие по договору)",Провайдеры,"Если совсем коротко, то 90-95% нарушений кибербезопасности вызваны человеческими ошибками, т.е. ошибками сотруднтков компаний. Кроме того, только 38% международных организаций заявляют, что они готовы справиться со сложными кибератаками. А еще 54% компаний заявляют, что за последние 12 месяцев пережили одну или несколько атак, и это число растет с каждым месяцем."
17,5,Защита данных,Заключительным этапом построения системы защиты является,900,Сопровождение,Анализ уязвимых мест,Планирование,Итог,Победа,"Этап сопровождения заключается в контроле работы системы, регистрации происходящих в ней событий, их анализе с целью обнаружить нарушения безопасности."
18,5,Защита данных,Какие угрозы безопасности информации являются преднамеренными?,600,Фишинг,Ошибки персонала,"Открытие электронного письма, содержащего вирус",Переход по неизвестной ссылки,Использование неизвестной флешки,"Преднамеренные угрозы: кража документов, подслушивание переговоров, несанкционированный доступ к информации,
перехват информации, внедрение инсайдеров;
фальсификация, подделка документов, диверсии, хакерские атаки и т.п."
19,5,Защита данных,Системой криптографической защиты информации является:,1200,Крипто Про,BFox Pro,CAudit Pro,Face ID,Theart Intelligence,"КриптоПро (Российский криптопровайдер) — это независимый модуль, позволяющий осуществлять криптографические операции в операционных системах Microsoft, управление которым происходит с помощью функций CryptoAPI. Проще говоря, это посредник между операционной системой, которая может управлять им с помощью стандартных функций CryptoAPI, и исполнителем криптографических операций (это может быть как программа, так и аппаратный комплекс).новое поколение криптопровайдера, развивающее три основные продуктовые линейки компании КриптоПро: КриптоПро CSP (классические токены и другие пассивные хранилища секретных ключей), КриптоПро ФКН CSP/Рутокен CSP (неизвлекаемыe ключи на токенах с защищенным обменом сообщениями) и КриптоПро DSS (ключи в облаке)."